dialog_id,uttr_id,actor,session,gender,audio_path,transcript,emotion,start_time,end_time
Ses01F_impro01,Ses01F_impro01_F000,Ses01F,1,female,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F000.wav,Excuse me.,neu,6.2901,8.2357
Ses01F_impro01,Ses01F_impro01_M000,Ses01M,1,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M000.wav,Do you have your forms?,fru,7.5712,10.475
Ses01F_impro01,Ses01F_impro01_F001,Ses01F,1,female,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F001.wav,Yeah.,neu,10.01,11.3925
Ses01F_impro01,Ses01F_impro01_M001,Ses01M,1,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M001.wav,Let me see them.,fru,10.9266,14.6649
Ses01F_impro01,Ses01F_impro01_F002,Ses01F,1,female,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F002.wav,Is there a problem?,neu,14.8872,18.0175
Ses01F_impro01,Ses01F_impro01_M002,Ses01M,1,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M002.wav,Who told you to get in this line?,fru,16.8352,19.7175
Ses01F_impro01,Ses01F_impro01_M003,Ses01M,1,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M003.wav,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,fru,23.47,28.03
Ses01F_impro01,Ses01F_impro01_F005,Ses01F,1,female,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F005.wav,Well what's the problem?  Let me change it.,neu,27.46,31.49
Ses01F_impro01,Ses01F_impro01_M004,Ses01M,1,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M004.wav,This form is a Z.X.four.,fru,28.395,31.2117
Ses01F_impro01,Ses01F_impro01_M005,Ses01M,1,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M005.wav,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",fru,31.266,39.3875
Ses01F_impro01,Ses01F_impro01_F006,Ses01F,1,female,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F006.wav,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,fru,38.965,43.59
Ses01F_impro01,Ses01F_impro01_M006,Ses01M,1,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M006.wav,No. I need another set of ID to prove this is actually you.,fru,41.23,46.98
Ses01F_impro01,Ses01F_impro01_F007,Ses01F,1,female,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F007.wav,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,fru,46.58,52.19
Ses01F_impro01,Ses01F_impro01_M007,Ses01M,1,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M007.wav,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,fru,51.4,57.64
Ses01F_impro01,Ses01F_impro01_F008,Ses01F,1,female,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F008.wav,I'm here to get an ID.,fru,56.16,58.8225
Ses01F_impro01,Ses01F_impro01_M008,Ses01M,1,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M008.wav,"No.  I need another ID, a separate one.",fru,58.18,62.59
Ses01F_impro01,Ses01F_impro01_F009,Ses01F,1,female,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F009.wav,Like what?  Like a birth certificate?,fru,61.87,65.97
Ses01F_impro01,Ses01F_impro01_M009,Ses01M,1,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M009.wav,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",fru,65.51,73.0
Ses01F_impro01,Ses01F_impro01_F011,Ses01F,1,female,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F011.wav,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",fru,72.45,82.26
Ses01F_impro01,Ses01F_impro01_M010,Ses01M,1,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M010.wav,"Yeah.  We keep it on file, but we need an ID to access that file.",fru,81.59,86.03
Ses01F_impro01,Ses01F_impro01_F012,Ses01F,1,female,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F012.wav,That's out of control.,ang,85.27,88.02
Ses01F_impro01,Ses01F_impro01_M011,Ses01M,1,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M011.wav,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,ang,87.15,94.39
Ses01F_impro01,Ses01F_impro01_F013,Ses01F,1,female,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F013.wav,How long have you been working here?,fru,93.67,97.0218
Ses01F_impro01,Ses01F_impro01_F014,Ses01F,1,female,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F014.wav,"Clearly.  You know, do you have like a supervisor or something?",neu,97.89,102.96
Ses01F_impro01,Ses01F_impro01_M013,Ses01M,1,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M013.wav,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,ang,101.84,107.87
Ses01F_impro01,Ses01F_impro01_F015,Ses01F,1,female,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F015.wav,That would - I would appreciate that.  Yeah.,fru,103.97,106.71
Ses01F_impro02,Ses01F_impro02_F000,Ses01F,1,female,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F000.wav,Did you get the mail? So you saw my letter?,sad,7.2688,16.6
Ses01F_impro02,Ses01F_impro02_F001,Ses01F,1,female,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F001.wav,Yeah.  I know.,sad,19.85,22.78
Ses01F_impro02,Ses01F_impro02_M001,Ses01M,1,male,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_M001.wav,"I don't understand.  You've already done so much, I don't know why do you have to go back.",sad,21.76,27.5558
Ses01F_impro02,Ses01F_impro02_F002,Ses01F,1,female,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F002.wav,I don't know.  I put in that. request too. They didn't...,sad,26.5659,32.2895
Ses01F_impro02,Ses01F_impro02_F003,Ses01F,1,female,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F003.wav,"I guess, you know, everybody has to make sacrifices.",neu,32.3075,37.96
Ses01F_impro02,Ses01F_impro02_F004,Ses01F,1,female,C:\Users\gagan\Documents\Dissertation\emotion-aware-ca\data\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro02\Ses01F_impro02_F004.wav,"There's people that have given more though, you know?",sad,47.34,53.11
